marker_id,run_label,status,n_eukaryotic_terminals,nearest_alphaproteobacteria_n,nearest_alphaproteobacteria_fraction,nearest_archaea_n,nearest_archaea_fraction,nearest_nonalpha_bacteria_n,nearest_nonalpha_bacteria_fraction,n_total_records,compartment_class,route_expectation
IBA57,model_finder,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,180,mitochondrial_integration,alpha_enriched
IBA57,fixed_LGFR6,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,180,mitochondrial_integration,alpha_enriched
ISCA1,model_finder,ok,60.0,3.0,0.05,1.0,0.0166666666666666,56.0,0.9333333333333332,155,mitochondrial_integration,alpha_enriched
ISCA1,fixed_LGFR6,ok,60.0,57.0,0.95,1.0,0.0166666666666666,2.0,0.0333333333333333,155,mitochondrial_integration,alpha_enriched
ISCA2,model_finder,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,132,mitochondrial_integration,boundary_or_mosaic
ISCA2,fixed_LGFR6,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,132,mitochondrial_integration,boundary_or_mosaic
ISCU,model_finder,ok,60.0,46.0,0.7666666666666667,13.0,0.2166666666666666,1.0,0.0166666666666666,240,mitochondrial_integration,alpha_enriched
ISCU,fixed_LGFR6,ok,60.0,44.0,0.7333333333333333,15.0,0.25,1.0,0.0166666666666666,240,mitochondrial_integration,alpha_enriched
NFS1,model_finder,ok,60.0,52.0,0.8666666666666667,0.0,0.0,8.0,0.1333333333333333,240,mitochondrial_integration,alpha_enriched_or_mixed
NFS1,fixed_LGFR6,ok,60.0,52.0,0.8666666666666667,0.0,0.0,8.0,0.1333333333333333,240,mitochondrial_integration,alpha_enriched_or_mixed
FDX1_FDX2,model_finder,ok,60.0,17.0,0.2833333333333333,10.0,0.1666666666666666,33.0,0.55,240,mitochondrial_integration,boundary_or_mosaic
FDX1_FDX2,fixed_LGFR6,ok,60.0,18.0,0.3,9.0,0.15,33.0,0.55,240,mitochondrial_integration,boundary_or_mosaic
GLRX5,model_finder,ok,60.0,7.0,0.1166666666666666,4.0,0.0666666666666666,49.0,0.8166666666666667,240,mitochondrial_integration,alpha_enriched_or_mixed
GLRX5,fixed_LGFR6,ok,60.0,7.0,0.1166666666666666,4.0,0.0666666666666666,49.0,0.8166666666666667,240,mitochondrial_integration,alpha_enriched_or_mixed
ABCB7_ATM1,model_finder,ok,60.0,19.0,0.3166666666666666,14.0,0.2333333333333333,27.0,0.45,240,interface_upstream,boundary_or_mosaic
ABCB7_ATM1,fixed_LGFR6,ok,60.0,19.0,0.3166666666666666,14.0,0.2333333333333333,27.0,0.45,240,interface_upstream,boundary_or_mosaic
NFU1,model_finder,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,197,mitochondrial_integration,alpha_enriched_or_mixed
NFU1,fixed_LGFR6,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,197,mitochondrial_integration,alpha_enriched_or_mixed
BOLA3,model_finder,ok,60.0,13.0,0.2166666666666666,0.0,0.0,47.0,0.7833333333333333,240,mitochondrial_integration,alpha_enriched_or_mixed
BOLA3,fixed_LGFR6,ok,60.0,13.0,0.2166666666666666,0.0,0.0,47.0,0.7833333333333333,240,mitochondrial_integration,alpha_enriched_or_mixed
NUBPL,model_finder,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,63,mitochondrial_integration,alpha_enriched_or_mixed
NUBPL,fixed_LGFR6,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,63,mitochondrial_integration,alpha_enriched_or_mixed
LYRM4_ISD11,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,mitochondrial_integration,alpha_enriched_or_mixed
CIAO1,model_finder,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,62,cytosolic_CIA,nonalpha_archaea_or_mosaic
CIAO1,fixed_LGFR6,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,62,cytosolic_CIA,nonalpha_archaea_or_mosaic
CIAO2B,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,cytosolic_CIA,nonalpha_archaea_or_mosaic
CIAO3,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,cytosolic_CIA,nonalpha_archaea_or_mosaic
MMS19,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,cytosolic_CIA,nonalpha_archaea_or_mosaic
NUBP1_NBP35,model_finder,ok,60.0,0.0,0.0,49.0,0.8166666666666667,11.0,0.1833333333333333,155,cytosolic_CIA,nonalpha_archaea_or_mosaic
NUBP1_NBP35,fixed_LGFR6,ok,60.0,0.0,0.0,49.0,0.8166666666666667,11.0,0.1833333333333333,155,cytosolic_CIA,nonalpha_archaea_or_mosaic
NUBP2_CFD1,model_finder,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,93,cytosolic_CIA,nonalpha_archaea_or_mosaic
NUBP2_CFD1,fixed_LGFR6,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,93,cytosolic_CIA,nonalpha_archaea_or_mosaic
