source_id	evidence_layer	donor_class	functional_class	rows
GTDB_R232	gene_tree_discordance	hgt_like	sox_energy_module	46
GTDB_R232	gene_tree_discordance	vertical_like	sox_energy_module	280
GTDB_R232	order_distribution	hgt_like	recipient_sulfur_backbone	20
GTDB_R232	order_distribution	hgt_like	sox_energy_module	28
GTDB_R232	order_distribution	vertical_like	recipient_sulfur_backbone	39
GTDB_R232	order_distribution	vertical_like	sox_energy_module	122
RefSeq_PGAP	gene_composition	hgt_like	mobility_boundary	32
RefSeq_PGAP	gene_composition	hgt_like	recipient_sulfur_backbone	7
RefSeq_PGAP	gene_composition	hgt_like	sox_energy_module	33
RefSeq_PGAP	gene_composition	vertical_like	mobility_boundary	679
RefSeq_PGAP	gene_composition	vertical_like	recipient_sulfur_backbone	56
RefSeq_PGAP	gene_composition	vertical_like	sox_energy_module	551
RefSeq_PGAP	local_composition	hgt_like	mobility_boundary	4
RefSeq_PGAP	local_composition	hgt_like	sox_energy_module	2
RefSeq_PGAP	local_composition	vertical_like	mobility_boundary	703
RefSeq_PGAP	local_composition	vertical_like	recipient_sulfur_backbone	66
RefSeq_PGAP	local_composition	vertical_like	sox_energy_module	632
RefSeq_PGAP	mobile_proximity	hgt_like	mobility_boundary	117
RefSeq_PGAP	mobile_proximity	hgt_like	recipient_sulfur_backbone	28
RefSeq_PGAP	mobile_proximity	hgt_like	sox_energy_module	143
RefSeq_PGAP	mobile_proximity	mobile_context	mobility_boundary	70
