family	donor_class	recipient_class	terminal_edges	mean_sample_support	max_sample_support
soxa	c__Alphaproteobacteria	c__Alphaproteobacteria	62	0.19580645161290325	0.92
soxa	c__Alphaproteobacteria	c__Vulcanimicrobiia	2	0.01	0.01
soxa	c__Campylobacteria	c__Campylobacteria	6	0.125	0.29
soxa	c__Gammaproteobacteria	c__Alphaproteobacteria	1	0.01	0.01
soxa	c__Gammaproteobacteria	c__Gammaproteobacteria	20	0.254	0.87
soxa	c__Myxococcia	c__Gammaproteobacteria	1	0.02	0.02
soxb	c__Alphaproteobacteria	c__Alphaproteobacteria	51	0.21156862745098037	0.93
soxb	c__Alphaproteobacteria	c__Gammaproteobacteria	1	0.38	0.38
soxb	c__Alphaproteobacteria	c__Vulcanimicrobiia	1	0.35	0.35
soxb	c__Aquificia	c__Aquificia	1	0.9	0.9
soxb	c__Campylobacteria	c__Campylobacteria	6	0.19833333333333333	0.48
soxb	c__Chlorobiia	c__Chlorobiia	2	0.365	0.42
soxb	c__Gammaproteobacteria	c__Alphaproteobacteria	1	0.43	0.43
soxb	c__Gammaproteobacteria	c__Campylobacteria	2	0.05	0.06
soxb	c__Gammaproteobacteria	c__Gammaproteobacteria	24	0.32625	0.95
soxb	c__Gammaproteobacteria	c__Myxococcia	1	0.44	0.44
soxb	c__Myxococcia	c__Gammaproteobacteria	1	0.4	0.4
soxb	c__Vulcanimicrobiia	c__Alphaproteobacteria	1	0.42	0.42
soxc	c__Alphaproteobacteria	c__Alphaproteobacteria	81	0.17148148148148148	0.91
soxc	c__Alphaproteobacteria	c__Gammaproteobacteria	7	0.16142857142857142	0.41
soxc	c__Campylobacteria	c__Campylobacteria	7	0.10428571428571429	0.5
soxc	c__Gammaproteobacteria	c__Alphaproteobacteria	5	0.14400000000000002	0.33
soxc	c__Gammaproteobacteria	c__Gammaproteobacteria	23	0.12999999999999998	0.87
soxc	c__Gammaproteobacteria	c__Myxococcia	2	0.01	0.01
soxc	c__Myxococcia	c__Alphaproteobacteria	1	0.01	0.01
soxc	c__Myxococcia	c__Gammaproteobacteria	1	0.02	0.02
soxc	c__Vulcanimicrobiia	c__Alphaproteobacteria	1	0.01	0.01
soxx	c__Alphaproteobacteria	c__Alphaproteobacteria	72	0.18180555555555555	0.91
soxx	c__Alphaproteobacteria	c__Gammaproteobacteria	11	0.07818181818181819	0.35
soxx	c__Alphaproteobacteria	c__Vulcanimicrobiia	2	0.35	0.51
soxx	c__Campylobacteria	c__Campylobacteria	13	0.19538461538461538	0.42
soxx	c__Gammaproteobacteria	c__Alphaproteobacteria	8	0.09250000000000001	0.4
soxx	c__Gammaproteobacteria	c__Gammaproteobacteria	39	0.1358974358974359	0.92
soxx	c__Vulcanimicrobiia	c__Alphaproteobacteria	1	0.36	0.36
soxy	c__Alphaproteobacteria	c__Alphaproteobacteria	86	0.18546511627906975	0.94
soxy	c__Alphaproteobacteria	c__Gammaproteobacteria	4	0.1425	0.47
soxy	c__Alphaproteobacteria	c__Myxococcia	2	0.21	0.24
soxy	c__Aquificia	c__Aquificia	1	0.89	0.89
soxy	c__Campylobacteria	c__Campylobacteria	2	0.034999999999999996	0.06
soxy	c__Campylobacteria	c__Gammaproteobacteria	1	0.02	0.02
soxy	c__Gammaproteobacteria	c__Alphaproteobacteria	6	0.10166666666666667	0.18
soxy	c__Gammaproteobacteria	c__Gammaproteobacteria	26	0.21846153846153846	0.85
soxy	c__Gammaproteobacteria	c__Myxococcia	1	0.23	0.23
soxy	c__Myxococcia	c__Alphaproteobacteria	2	0.16999999999999998	0.19
soxy	c__Myxococcia	c__Gammaproteobacteria	1	0.06	0.06
soxy	c__Vulcanimicrobiia	c__Alphaproteobacteria	2	0.01	0.01
soxz	c__Alphaproteobacteria	c__Alphaproteobacteria	102	0.1685294117647059	0.95
soxz	c__Alphaproteobacteria	c__Campylobacteria	1	0.01	0.01
soxz	c__Alphaproteobacteria	c__Gammaproteobacteria	2	0.44	0.87
soxz	c__Alphaproteobacteria	c__Vulcanimicrobiia	3	0.013333333333333334	0.02
soxz	c__Campylobacteria	c__Campylobacteria	4	0.2525	0.87
soxz	c__Campylobacteria	c__Gammaproteobacteria	2	0.11000000000000001	0.17
soxz	c__Chlorobiia	c__Chlorobiia	2	0.30500000000000005	0.54
soxz	c__Chlorobiia	c__Gammaproteobacteria	1	0.7	0.7
soxz	c__Gammaproteobacteria	c__Alphaproteobacteria	2	0.01	0.01
soxz	c__Gammaproteobacteria	c__Campylobacteria	2	0.36000000000000004	0.67
soxz	c__Gammaproteobacteria	c__Chlorobiia	1	0.09	0.09
soxz	c__Gammaproteobacteria	c__Gammaproteobacteria	24	0.29333333333333333	0.96
soxz	c__Gammaproteobacteria	c__Myxococcia	1	0.41	0.41
soxz	c__Myxococcia	c__Gammaproteobacteria	1	0.4	0.4
soxz	c__Vulcanimicrobiia	c__Alphaproteobacteria	2	0.045	0.06
soxz	c__Vulcanimicrobiia	c__Chlorobiia	1	0.01	0.01
